Country,Nearest Settlement,Site Name,Elevation,Time Zone,Equipment Type,Equipment Owner,Partners,Host Institution,Project Founder,Commission Date,Start of Measurement Campaign , Measurement Data,Documents & Reports,End of Measurement Campaign,Decommission Date,Project Owner,Photo Gallery,Latitude,Longitude
Tanzania,Dar es Salaam,TZ_Solar_DaresSalaam_UDSM,190,UTC+03:00,Tier1,Consortium,"CENER, CIEMAT, ENERGIO VERDA AFRICA, IRSOLAV, GEONICA", University of Dar es Salaam,ESMAP,21.05.2015,21.05.2015,Dar es Salaam station (https://energydata.info/dataset/solarresource-measurements-tanzania-daressalaam-wb-esmap-header),Dar es Salaam project page (http://www.esmap.org/re_mapping_tnz ),,,World Bank,,-6.781101,39.2039
Pakistan,Multan,PK_Solar_Multan_MSNUET,95,UTC+05:00,Tier2,CSP Services,DLR and CSP Services,M. Nawaz Sharif University of Engineering and Technology,ESMAP,01.10.2014,01.10.2014,Multan station (https://energydata.info/dataset/pakistan-solar-measurement-wbg-esmap),Multan project page (https://www.esmap.org/re_Resource_Mapping_Pakistan),,,World Bank,,30.1654,71.4978
Pakistan,Islamabad,PK_Solar_Islamabad_NUST,500,UTC+05:00,Tier1,CSP Services,DLR and CSP Services,National University of Science and Technology,ESMAP,01.10.2014,01.10.2014,Islamabad station (https://energydata.info/dataset/pakistan-solar-measurement-wbg-esmap),Islamabad project page (https://www.esmap.org/re_Resource_Mapping_Pakistan),,,World Bank,,33.64191,72.9838
Pakistan,Peshawar,PK_Solar_Peshawar_UET,370,UTC+05:00,Tier2,CSP Services,DLR and CSP Services,University of Engineering and Technology ,ESMAP,10.04.2015,10.04.2015,Peshawar station (https://energydata.info/dataset/pakistan-solar-measurement-wbg-esmap),Peshawar project page (https://www.esmap.org/re_Resource_Mapping_Pakistan),,,World Bank,,34.0017,71.4854
Pakistan,Hyderabad,PK_Solar_Hyderabad_MUET,60,UTC+05:00,Tier2,CSP Services,DLR and CSP Services,Mehran University of Engineering and Technology,ESMAP,21.04.2015,21.04.2015,Hyderabad station (https://energydata.info/dataset/pakistan-solar-measurement-wbg-esmap),Hyderabad project page (https://www.esmap.org/re_Resource_Mapping_Pakistan),,,World Bank,,25.4134,68.2595
Pakistan,Lahore,PK_Solar_Lahore_UET,220,UTC+05:00,Tier2,CSP Services,DLR and CSP Services,University of Engineering and Technology,ESMAP,01.10.2014,01.10.2014,Lahore station (https://energydata.info/dataset/pakistan-solar-measurement-wbg-esmap),Lahore project page (https://www.esmap.org/re_Resource_Mapping_Pakistan),,,World Bank,,31.69458,74.2441
Pakistan,Bahawalpur,PK_Solar_Bahawalpur_QASP,120,UTC+05:00,Tier1,CSP Services,DLR and CSP Services,Quaid-e-Azam Solar Park,ESMAP,01.10.2014,01.10.2014,Bahawalpur station (https://energydata.info/dataset/pakistan-solar-measurement-wbg-esmap),Bahawalpur project page (https://www.esmap.org/re_Resource_Mapping_Pakistan),,,World Bank,,29.32542,71.81877
Pakistan,Karachi,PK_Solar_Karachi_NEDUET,40,UTC+05:00,Tier2,CSP Services,DLR and CSP Services,NED University of Engineering and Technology,ESMAP,22.05.2015,22.04.2015,Karachi station (https://energydata.info/dataset/pakistan-solar-measurement-wbg-esmap),Karachi project page (https://www.esmap.org/re_Resource_Mapping_Pakistan),,,World Bank,,24.9334,67.1116
Pakistan,Quetta,PK_Solar_Quetta_BUITEMS,1590,UTC+05:00,Tier2,CSP Services,DLR and CSP Services,"The Balochistan University of Information Technology, Engineering and Management Sciences",ESMAP,17.09.2015,17.09.2015,Quetta station (https://energydata.info/dataset/pakistan-solar-measurement-wbg-esmap),Quetta project page (https://www.esmap.org/re_Resource_Mapping_Pakistan),,,World Bank,,30.2708,66.9398
Pakistan,Khuzdar,PK_Solar_Khuzdar_BUET,1260,UTC+05:00,Tier2,CSP Services,DLR and CSP Services,Balochistan University of Engineering & Technology Khuzdar,ESMAP,22.09.2015,22.09.2015,Khuzdar station (https://energydata.info/dataset/pakistan-solar-measurement-wbg-esmap),Khuzdar project page (https://www.esmap.org/re_Resource_Mapping_Pakistan),,,World Bank,,27.8178,66.6294
